label,pred_mean,pred_std,pred_min,pred_max,unique_pred_count_rounded_10,positive_pred_ratio,positive_actual_ratio
Validation - FULL,0.0008084263536147773,0.002140803262591362,-0.004765904974192381,0.011675823479890823,250,0.644,0.52
Validation - NO_G1,0.0011179106077179313,0.0013378364965319633,-0.0037871389649808407,0.006676241755485535,250,0.82,0.52
Validation - NO_G2,0.0011361842043697834,0.0013765213079750538,-0.002861983375623822,0.005852584261447191,250,0.82,0.52
Validation - NO_G3,0.0008269391255453229,0.0021055482793599367,-0.005808740388602018,0.009971758350729942,250,0.664,0.52
Validation - GOLD_ONLY,0.0011987054022029042,0.0007641197298653424,-0.0004793110128957778,0.0038643835578113794,250,0.96,0.52
