package,num_features,features,MAE,RMSE,DA
NO_G3,40,"GOLD_RET, GOLD_RET_LAG1, GOLD_RET_LAG2, GOLD_RET_LAG3, GOLD_RET_LAG4, GOLD_RET_LAG5, GOLD_RET_LAG6, GOLD_RET_LAG7, DXY_RET, DXY_RET_LAG1, DXY_RET_LAG2, DXY_RET_LAG3, DXY_RET_LAG4, DXY_RET_LAG5, DXY_RET_LAG6, DXY_RET_LAG7, SP500_RET, SP500_RET_LAG1, SP500_RET_LAG2, SP500_RET_LAG3, SP500_RET_LAG4, SP500_RET_LAG5, SP500_RET_LAG6, SP500_RET_LAG7, US10Y_CHANGE, US10Y_CHANGE_LAG1, US10Y_CHANGE_LAG2, US10Y_CHANGE_LAG3, US10Y_CHANGE_LAG4, US10Y_CHANGE_LAG5, US10Y_CHANGE_LAG6, US10Y_CHANGE_LAG7, VIX_LEVEL, VIX_LEVEL_LAG1, VIX_LEVEL_LAG2, VIX_LEVEL_LAG3, VIX_LEVEL_LAG4, VIX_LEVEL_LAG5, VIX_LEVEL_LAG6, VIX_LEVEL_LAG7",0.014774502767553752,0.018681644537163596,0.52
FULL,48,"GOLD_RET, GOLD_RET_LAG1, GOLD_RET_LAG2, GOLD_RET_LAG3, GOLD_RET_LAG4, GOLD_RET_LAG5, GOLD_RET_LAG6, GOLD_RET_LAG7, DXY_RET, DXY_RET_LAG1, DXY_RET_LAG2, DXY_RET_LAG3, DXY_RET_LAG4, DXY_RET_LAG5, DXY_RET_LAG6, DXY_RET_LAG7, SP500_RET, SP500_RET_LAG1, SP500_RET_LAG2, SP500_RET_LAG3, SP500_RET_LAG4, SP500_RET_LAG5, SP500_RET_LAG6, SP500_RET_LAG7, OIL_RET, OIL_RET_LAG1, OIL_RET_LAG2, OIL_RET_LAG3, OIL_RET_LAG4, OIL_RET_LAG5, OIL_RET_LAG6, OIL_RET_LAG7, US10Y_CHANGE, US10Y_CHANGE_LAG1, US10Y_CHANGE_LAG2, US10Y_CHANGE_LAG3, US10Y_CHANGE_LAG4, US10Y_CHANGE_LAG5, US10Y_CHANGE_LAG6, US10Y_CHANGE_LAG7, VIX_LEVEL, VIX_LEVEL_LAG1, VIX_LEVEL_LAG2, VIX_LEVEL_LAG3, VIX_LEVEL_LAG4, VIX_LEVEL_LAG5, VIX_LEVEL_LAG6, VIX_LEVEL_LAG7",0.014777583959699808,0.018684217832676153,0.52
NO_G1,32,"GOLD_RET, GOLD_RET_LAG1, GOLD_RET_LAG2, GOLD_RET_LAG3, GOLD_RET_LAG4, GOLD_RET_LAG5, GOLD_RET_LAG6, GOLD_RET_LAG7, SP500_RET, SP500_RET_LAG1, SP500_RET_LAG2, SP500_RET_LAG3, SP500_RET_LAG4, SP500_RET_LAG5, SP500_RET_LAG6, SP500_RET_LAG7, OIL_RET, OIL_RET_LAG1, OIL_RET_LAG2, OIL_RET_LAG3, OIL_RET_LAG4, OIL_RET_LAG5, OIL_RET_LAG6, OIL_RET_LAG7, VIX_LEVEL, VIX_LEVEL_LAG1, VIX_LEVEL_LAG2, VIX_LEVEL_LAG3, VIX_LEVEL_LAG4, VIX_LEVEL_LAG5, VIX_LEVEL_LAG6, VIX_LEVEL_LAG7",0.01478218627069695,0.018663459181152028,0.52
NO_G2,32,"GOLD_RET, GOLD_RET_LAG1, GOLD_RET_LAG2, GOLD_RET_LAG3, GOLD_RET_LAG4, GOLD_RET_LAG5, GOLD_RET_LAG6, GOLD_RET_LAG7, DXY_RET, DXY_RET_LAG1, DXY_RET_LAG2, DXY_RET_LAG3, DXY_RET_LAG4, DXY_RET_LAG5, DXY_RET_LAG6, DXY_RET_LAG7, OIL_RET, OIL_RET_LAG1, OIL_RET_LAG2, OIL_RET_LAG3, OIL_RET_LAG4, OIL_RET_LAG5, OIL_RET_LAG6, OIL_RET_LAG7, US10Y_CHANGE, US10Y_CHANGE_LAG1, US10Y_CHANGE_LAG2, US10Y_CHANGE_LAG3, US10Y_CHANGE_LAG4, US10Y_CHANGE_LAG5, US10Y_CHANGE_LAG6, US10Y_CHANGE_LAG7",0.014848843469094344,0.018733978359031126,0.492
GOLD_ONLY,8,"GOLD_RET, GOLD_RET_LAG1, GOLD_RET_LAG2, GOLD_RET_LAG3, GOLD_RET_LAG4, GOLD_RET_LAG5, GOLD_RET_LAG6, GOLD_RET_LAG7",0.014951896881186517,0.01884264375706952,0.48
