trial_number,state,MAE,RMSE,DA,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
82,TrialState.COMPLETE,0.016097234382686232,0.02139181743310625,0.5077490774907749,300,0.005352757467945076,2,2,0.7533935236147858,0.6365517758073783,0.3624613769935243,0.9925499714722436,0.5678899037764856
54,TrialState.COMPLETE,0.016104030093078665,0.021391019459561213,0.5022140221402214,300,0.00508178798316514,2,2,0.9753162717700546,0.7786688220012041,0.4579269896470079,0.3946114854156587,1.464686822603705
83,TrialState.COMPLETE,0.016105107177139248,0.021395878954204483,0.5059040590405904,300,0.005453098938134243,2,2,0.761828012513811,0.6433224983687339,0.48323195428121696,0.9230384202562741,0.6154599831826071
51,TrialState.COMPLETE,0.016105829814726587,0.02139441059290266,0.5003690036900369,300,0.005055133670903599,2,2,0.973819541753277,0.8323015543537429,0.4485276928663894,0.3920794912601273,2.159343966012803
49,TrialState.COMPLETE,0.016109156244906837,0.021398827483681698,0.5018450184501845,300,0.005108057382250033,2,9,0.9748171944797877,0.8167933822916275,0.44662831672684183,0.2689672186786086,2.6741460509096044
91,TrialState.COMPLETE,0.01610943205721305,0.021394396791108442,0.4999999999999999,300,0.005313892012689963,2,2,0.9626019892459876,0.6312377679560597,0.4249491813233995,0.8648054995911015,1.5544157530732692
50,TrialState.COMPLETE,0.016110225417510907,0.021407207461767545,0.5,300,0.005018176080054813,2,3,0.9703687198269667,0.8205459642997539,0.4595003642728053,0.28543142305371744,2.690529467203711
75,TrialState.COMPLETE,0.016111379455868567,0.02140540544302317,0.5055350553505535,300,0.005548335601281389,2,1,0.7625215456017247,0.6070455534583215,0.4327764232850335,0.8160318517431404,1.43240637811616
52,TrialState.COMPLETE,0.016112153873220562,0.021406463682037406,0.4988929889298893,300,0.005222708705655589,2,3,0.9734341042257598,0.8154815519897533,0.4525582986579144,0.4046011980383118,2.7107523418852733
81,TrialState.COMPLETE,0.016112217701257026,0.021403360804197802,0.5044280442804429,350,0.0054142988450305764,2,1,0.7436611695589251,0.6268655173483543,0.36552186324017866,0.9919262221810106,1.4941754540553422
88,TrialState.COMPLETE,0.016115481057318894,0.021397660326701134,0.5,300,0.005407531223582616,2,2,0.9647336303456803,0.6285768693691466,0.4307204014523497,0.8901933821016978,1.6806627042210156
72,TrialState.COMPLETE,0.016115773072349605,0.021415930760453516,0.5022140221402214,300,0.006377569339546208,2,1,0.6947121504022377,0.8509713932038335,0.44480448875396855,0.6527131153627265,2.256896147200702
96,TrialState.COMPLETE,0.016116964104602893,0.02140991332236888,0.5022140221402214,300,0.005743080808985197,2,2,0.8209392670945753,0.6180683080146646,0.38430767651822684,0.9631666750439578,1.9537745520826149
95,TrialState.COMPLETE,0.016120192905158672,0.02140776465982954,0.49926199261992626,350,0.005008594164864576,2,1,0.9710801333973254,0.6368093529545267,0.455819658211522,0.2387592346096529,1.6335344733098955
77,TrialState.COMPLETE,0.016122202614570636,0.021409771535779287,0.5022140221402214,350,0.005866785322563238,2,1,0.7442471794879036,0.6120888308284483,0.3673714814883113,0.8345379121149683,0.8769960686209022
76,TrialState.COMPLETE,0.016122621735446846,0.0214169107930048,0.503690036900369,350,0.005732843026914118,2,1,0.7451756019232403,0.7070739353687858,0.36920036947389656,0.8394666663758908,1.4664846173119364
63,TrialState.COMPLETE,0.01612342403045704,0.0214180336327328,0.4988929889298893,300,0.0055797966754473245,2,3,0.9871929311374232,0.8095337190846627,0.44445263045079003,0.5389746613769999,2.8171088299891336
92,TrialState.COMPLETE,0.016125339452739244,0.021404302285925717,0.4985239852398524,300,0.005998494604205355,2,1,0.958758047893088,0.6200050235223481,0.41422345536748967,0.30513352426744145,1.4346509185705965
98,TrialState.COMPLETE,0.016125719796761567,0.021421617415520268,0.5029520295202952,300,0.007023949098170209,2,3,0.7285053604290673,0.6282837399398834,0.4245660728743722,0.2625332175637053,0.9663387401417909
71,TrialState.COMPLETE,0.016128476076383756,0.02142626856102455,0.5025830258302583,300,0.006739260281249,2,2,0.7245150355663357,0.8306376539414104,0.44224077837940756,0.6416161090601088,2.206393704695777
86,TrialState.COMPLETE,0.016128698084526782,0.021417544794628877,0.5029520295202952,400,0.005339364209986689,2,2,0.7995275429046702,0.6400218567378995,0.29679984256443437,0.9416810940197989,1.4405040658838375
84,TrialState.COMPLETE,0.016128870119645318,0.021418500038806708,0.5047970479704798,400,0.0053330107371901666,2,2,0.7542154728956635,0.6461451536792692,0.4800793502631623,0.9892632725820879,1.1264543605357817
64,TrialState.COMPLETE,0.016131164809761574,0.021432155137673617,0.5029520295202952,300,0.0069288243367029104,2,3,0.6955973390152621,0.8090935792155599,0.44366145125365436,0.5366736796340789,2.75125092496755
66,TrialState.COMPLETE,0.016131413109070496,0.021439078750849987,0.5003690036900368,300,0.007012759469009413,2,2,0.6996650720876346,0.8299246782017555,0.4407500415136536,0.6282315066430856,2.0952538376894814
89,TrialState.COMPLETE,0.016132317868880024,0.02141694532989097,0.5029520295202952,350,0.006203203371704952,2,6,0.7360645462073678,0.6556057068700777,0.39731177441034293,0.7470731198216701,1.865050646706401
61,TrialState.COMPLETE,0.016132777152981413,0.02142204436548065,0.500369003690037,350,0.005030224949965783,2,3,0.9366710476788522,0.7955771468239485,0.4720524707581075,0.4885414961800786,2.809819263527841
67,TrialState.COMPLETE,0.01613981268164207,0.021443777154134907,0.4981549815498155,350,0.006603501419337163,2,2,0.6306376273609834,0.8532532157742787,0.4554125507869521,0.4536307992128581,0.8230690069742994
74,TrialState.COMPLETE,0.01614255755267483,0.021443012575865887,0.5,350,0.006278416121283867,2,2,0.6655688986431951,0.8417895678572118,0.48696294617557007,0.638712358897446,1.8683025049087933
47,TrialState.COMPLETE,0.016145762205157944,0.02143635160645535,0.4985239852398524,400,0.005062007842276557,2,9,0.9043710096752103,0.7660822645523062,0.3891515732326096,0.11342276881337236,3.6811927886900238
78,TrialState.COMPLETE,0.016149859676911592,0.021432076942936605,0.5022140221402214,350,0.006408650656057316,2,1,0.7776125811417395,0.6101506152904458,0.3222872048733662,0.9537695663841369,0.8040617805923886
94,TrialState.COMPLETE,0.016153204083590576,0.021424248604983695,0.49926199261992615,400,0.005346127343842183,2,3,0.9413301460106102,0.6804796273586406,0.335882051416841,0.40870024420238055,1.2648840004337611
97,TrialState.COMPLETE,0.01615744950596177,0.021431378544774192,0.49741697416974173,350,0.00655294714379002,2,4,0.9829228082892677,0.6556749840661221,0.48739059045305944,0.8755209156239143,0.789118785987317
41,TrialState.COMPLETE,0.0161576315677674,0.02145924724313865,0.5018450184501846,400,0.005036931948380274,2,9,0.9305508891796774,0.8687211910704168,0.4188753982006156,0.11698070884551379,4.719925121913666
42,TrialState.COMPLETE,0.016158942469580988,0.021459646969771765,0.49926199261992626,400,0.005311548942982019,2,9,0.9208894763261962,0.9161555593204282,0.4411366190498302,0.06547035287542852,4.504394296524448
99,TrialState.COMPLETE,0.016158979870979386,0.021450707925192374,0.4985239852398524,350,0.006123646514878215,2,5,0.999773736775885,0.727903414559892,0.40537795762958795,0.9262965663518079,3.0405675972911093
