package,features,MAE,RMSE,DA
FULL,"DXY_RET, SP500_RET, OIL_RET, US10Y_CHANGE, VIX_LEVEL",0.014189792752942201,0.018560449036479302,0.592
NO_G1,"SP500_RET, OIL_RET, VIX_LEVEL",0.01419442859224601,0.018620953433824965,0.58
NO_G3,"DXY_RET, SP500_RET, US10Y_CHANGE, VIX_LEVEL",0.01420859944762248,0.018600805235090872,0.6
NO_G2,"DXY_RET, OIL_RET, US10Y_CHANGE",0.014303820464921728,0.018677885154317054,0.592
