Model,Target,Selected_Package,Configuration,Selected_Features,Validation_MAE,Validation_RMSE,Validation_DA
ARIMAX,TARGET_5D,FULL,"order=(0, 0, 1), trend=c","DXY_RET, SP500_RET, OIL_RET, US10Y_CHANGE, VIX_LEVEL",0.0141897927529422,0.0185604490364793,0.592
XGBoost,TARGET_5D,NO_G3,n_estimators=300; learning_rate=0.005352757467945076; max_depth=2; min_child_weight=2; subsample=0.7533935236147858; colsample_bytree=0.6365517758073783; gamma=0.3624613769935243; reg_alpha=0.9925499714722436; reg_lambda=0.5678899037764856,40 selected feature columns,0.0147745027675537,0.0186816445371635,0.52
LSTM,TARGET_5D,NO_G3,"config=MEDIUM_LR_001, architecture=MEDIUM, learning_rate=0.001, loss=Huber, window=7, best_epochs=14","GOLD_RET, DXY_RET, SP500_RET, US10Y_CHANGE, VIX_LEVEL",0.014632944791553,0.0187309304222312,0.544
